Name,Artist,Album,Genre,Length,Path,UID
On The Other Side,The Strokes,First Impressions Of Earth,Alternative,4:38,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\The Strokes\First Impressions Of Earth\05 On The Other Side.mp3,3
Electricityscape,The Strokes,First Impressions Of Earth,Alternative,3:33,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\The Strokes\First Impressions Of Earth\08 Electricityscape.mp3,4
The Deep Down Truth,The The,45 RPM - The Singles of The The,Indie,3:49,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\The The\45 RPM - The Singles of The The\15 The Deep Down Truth.mp3,0
Slow Emotion Replay,The The,Dusk,Rock,3:55,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\The The\Dusk\05 Slow Emotion Replay.mp3,0
Bluer Than Midnight,The The,Dusk,Rock,3:43,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\The The\Dusk\09 Bluer Than Midnight.mp3,1
Anything,Third Eye Blind,Blue,Alternative Rock,2:0,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Third Eye Blind\Blue\01 Anything.mp3,0
Wounded,Third Eye Blind,Blue,Alternative Rock,4:51,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Third Eye Blind\Blue\02 Wounded.mp3,1
10 Days Late,Third Eye Blind,Blue,Alternative Rock,3:5,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Third Eye Blind\Blue\03 10 Days Late.mp3,2
Deep Inside Of You,Third Eye Blind,Blue,Alternative Rock,4:10,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Third Eye Blind\Blue\05 Deep Inside Of You.mp3,3
1000 Julys,Third Eye Blind,Blue,Alternative Rock,3:54,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Third Eye Blind\Blue\06 1000 Julys.mp3,4
